scenario,old_profit,new_profit,profit_delta,old_fulfillment,new_fulfillment,fulfillment_delta,old_forecast_mae,new_forecast_mae,forecast_mae_delta,old_defaults,new_defaults,defaults_delta,old_final_backlog,new_final_backlog,final_backlog_delta
baseline,3514.752285332293,3430.2136746667265,-84.53861066556647,0.9936765981632196,0.9692175611760447,-0.024459036987174887,6.583333333333333,5.111111111111111,-1.4722222222222223,1,6,5,0.040865946079652236,0.8206365963960058,0.7797706503163536
price_war,2847.903113372399,2991.8093549275236,143.90624155512478,0.9793074596564071,0.9909657655188857,0.011658305862478624,5.972222222222222,5.5,-0.4722222222222223,1,0,-1,0.6605424122333663,0.20512682017398703,-0.45541559205937926
supply_shock,3463.145082825792,3736.258776388411,273.1136935626191,0.928145526852635,0.9308927639317616,0.0027472370791266076,8.916666666666666,8.305555555555555,-0.6111111111111107,11,11,0,7.806716149387462,6.547206258923117,-1.2595098904643454
high_volatility,3403.9423115125173,3324.445476807339,-79.49683470517812,0.9806263046164674,0.9857044451701539,0.005078140553686494,7.305555555555555,8.194444444444445,0.8888888888888893,5,2,-3,0.0,0.4148761798081957,0.4148761798081957
no_reputation,3411.8499892536247,3365.8564401954977,-45.99354905812697,0.9758446382525456,0.9973955067873114,0.021550868534765732,6.472222222222222,5.666666666666667,-0.8055555555555554,5,1,-4,0.0934787867965411,0.23461639948619112,0.14113761268965003
no_transfer,3522.4293956302763,3545.4439204704754,23.0145248401991,0.9883091668581017,0.9819953036194278,-0.006313863238673889,6.333333333333333,5.388888888888889,-0.9444444444444438,2,3,1,0.25424754840592517,0.16495350321494262,-0.08929404519098255
